x	y	category	mutation_count
33	153	1	5702
34	48	1	7632
34	63	1	7450
34	76	1	5279
34	79	1	6715
34	82	1	5964
34	83	1	5891
34	84	1	6948
34	95	1	6695
34	103	1	8438
34	106	1	6763
34	107	1	7594
34	109	1	5754
34	111	1	5749
34	118	1	6780
34	119	1	5975
34	129	1	8366
34	130	1	7651
34	131	1	9004
34	132	1	6048
34	133	1	9327
34	136	1	8054
34	141	1	9725
34	144	1	6568
34	155	1	7687
34	161	1	6080
35	64	1	9330
35	69	1	4341
35	76	1	5965
35	79	1	5661
35	80	1	5503
35	81	1	5233
35	82	1	6113
35	88	1	7521
35	91	1	6897
35	97	1	5446
35	98	1	5922
35	100	1	8166
35	107	1	7033
35	112	1	7855
35	121	1	6863
35	124	1	4458
35	125	1	6643
35	138	1	7567
35	141	1	6196
35	146	1	5897
35	148	1	9028
35	150	1	5457
36	69	1	8676
36	71	1	5691
36	72	1	7401
36	75	1	6466
36	83	1	6824
36	86	1	6051
36	89	1	5883
36	91	1	5451
36	98	1	4400
36	99	1	6193
36	108	1	7305
36	110	1	7462
36	112	1	6080
36	126	1	5448
36	127	1	5045
36	129	1	9383
36	130	1	6437
36	134	1	5998
36	135	1	5166
36	137	1	7818
36	153	1	5346
36	155	1	7340
36	157	1	5568
37	38	1	7837
37	49	1	6388
37	54	1	6287
37	56	1	7835
37	59	1	7721
37	65	1	7143
37	69	1	7489
37	74	1	9712
37	81	1	7052
37	89	1	5926
37	90	1	6358
37	94	1	6726
37	96	1	9027
37	97	1	5798
37	99	1	8050
37	101	1	5991
37	103	1	5732
37	113	1	5563
37	118	1	7473
37	122	1	8897
37	125	1	9433
37	132	1	6415
37	133	1	5927
37	134	1	6709
37	140	1	7551
37	145	1	6973
37	146	1	8183
37	148	1	6835
37	151	1	7236
37	155	1	6091
37	176	1	9404
38	34	1	7148
38	44	1	7727
38	59	1	6862
38	64	1	6116
38	65	1	8448
38	70	1	9370
38	75	1	7722
38	76	1	6525
38	82	1	7617
38	86	1	6211
38	88	1	7022
38	89	1	6263
38	95	1	7730
38	96	1	6436
38	99	1	5968
38	100	1	7314
38	102	1	5960
38	106	1	5030
38	119	1	5187
38	121	1	6324
38	122	1	10024
38	123	1	7348
38	126	1	6756
38	127	1	6834
38	128	1	4175
38	129	1	6136
38	131	1	8375
38	151	1	6563
38	154	1	4541
38	162	1	9170
39	66	1	6262
39	70	1	8506
39	72	1	7161
39	74	1	7023
39	77	1	8224
39	78	1	4860
39	82	1	7831
39	83	1	7366
39	84	1	7123
39	85	1	6487
39	89	1	5582
39	90	1	7701
39	93	1	7758
39	96	1	7648
39	105	1	9069
39	113	1	7060
39	116	1	6754
39	117	1	6308
39	120	1	6968
39	122	1	6474
39	124	1	5442
39	125	1	6585
39	126	1	8042
39	132	1	6824
39	134	1	7363
39	140	1	7089
39	151	1	7262
39	154	1	7162
39	156	1	7184
39	162	1	7613
40	45	1	5485
40	52	1	6631
40	74	1	8086
40	75	1	6468
40	78	1	7032
40	82	1	7105
40	85	1	4577
40	86	1	7236
40	87	1	7482
40	90	1	5067
40	94	1	6853
40	95	1	6751
40	97	1	7731
40	98	1	5628
40	99	1	6795
40	101	1	6437
40	106	1	8471
40	110	1	4686
40	111	1	5511
40	113	1	6528
40	115	1	5611
40	116	1	6153
40	117	1	5054
40	119	1	6031
40	121	1	4140
40	134	1	4813
40	135	1	5434
40	144	1	6500
41	36	1	5960
41	41	1	6379
41	50	1	5332
41	54	1	8351
41	59	1	7076
41	62	1	5910
41	65	1	4483
41	66	1	6624
41	68	1	4821
41	69	1	6907
41	74	1	7450
41	75	1	7732
41	77	1	5512
41	79	1	5996
41	80	1	8858
41	91	1	5456
41	92	1	4981
41	93	1	7343
41	94	1	6762
41	95	1	5293
41	99	1	5548
41	100	1	7734
41	103	1	8107
41	106	1	7545
41	109	1	6327
41	110	1	5816
41	112	1	7109
41	113	1	8975
41	119	1	5005
41	121	1	9627
41	128	1	4994
41	130	1	6783
41	134	1	5661
41	141	1	7366
41	142	1	7889
41	145	1	5348
41	147	1	8346
41	150	1	4391
41	151	1	6495
41	157	1	6442
42	44	1	5605
42	47	1	5483
42	57	1	8627
42	58	1	5812
42	59	1	7213
42	60	1	6011
42	63	1	9886
42	65	1	4837
42	67	1	6290
42	69	1	8213
42	71	1	6773
42	74	1	5648
42	80	1	5294
42	83	1	9248
42	84	1	4765
42	92	1	6827
42	93	1	8708
42	94	1	6037
42	98	1	4355
42	100	1	8200
42	101	1	8084
42	102	1	4999
42	104	1	8693
42	107	1	6437
42	108	1	5593
42	111	1	4703
42	114	1	5689
42	121	1	7098
42	124	1	6725
42	126	1	6260
42	128	1	6173
42	129	1	5800
42	131	1	9194
42	132	1	6110
42	142	1	6019
42	148	1	6724
42	181	1	9320
43	29	1	7481
43	43	1	5920
43	44	1	9769
43	51	1	5422
43	67	1	5218
43	71	1	10377
43	72	1	8845
43	83	1	6583
43	91	1	7994
43	92	1	5589
43	98	1	4971
43	102	1	7797
43	103	1	6291
43	116	1	6940
43	117	1	6239
43	122	1	5244
43	129	1	7884
43	133	1	8842
43	137	1	6596
43	138	1	5685
43	140	1	7290
43	145	1	7252
43	150	1	5408
43	152	1	6595
43	154	1	6099
44	25	1	5997
44	34	1	7377
44	46	1	6234
44	55	1	7637
44	64	1	5864
44	70	1	5411
44	79	1	5188
44	80	1	6988
44	81	1	7458
44	82	1	5651
44	83	1	7598
44	85	1	7215
44	96	1	7990
44	97	1	6078
44	100	1	4661
44	107	1	6223
44	111	1	6867
44	112	1	6024
44	117	1	5943
44	120	1	6414
44	121	1	5303
44	125	1	6644
44	126	1	5662
44	127	1	8108
44	128	1	6382
44	129	1	6777
44	132	1	5845
44	133	1	6383
44	134	1	6584
44	137	1	7515
44	139	1	5968
44	144	1	5473
44	153	1	7352
44	164	1	6412
44	182	1	7141
45	46	1	7284
45	49	1	5802
45	52	1	4179
45	55	1	6854
45	57	1	6748
45	64	1	6054
45	69	1	4996
45	75	1	7583
45	82	1	5246
45	83	1	5404
45	85	1	7324
45	90	1	9729
45	94	1	7187
45	101	1	6446
45	104	1	8572
45	105	1	7136
45	109	1	5584
45	110	1	8587
45	111	1	7190
45	113	1	7390
45	114	1	7279
45	115	1	4735
45	117	1	5228
45	120	1	5819
45	125	1	5803
45	126	1	6537
45	128	1	6081
45	129	1	7985
45	132	1	6717
45	134	1	7854
45	139	1	5283
45	141	1	5754
45	142	1	8497
45	143	1	7821
45	149	1	7089
45	151	1	8094
45	161	1	5796
45	182	1	4529
46	29	1	6313
46	52	1	7256
46	55	1	7932
46	56	1	5291
46	58	1	6809
46	67	1	8561
46	74	1	4677
46	77	1	7196
46	78	1	6562
46	79	1	7458
46	83	1	5177
46	85	1	6299
46	88	1	7087
46	89	1	6453
46	95	1	5437
46	96	1	6878
46	101	1	6546
46	103	1	6561
46	104	1	6951
46	105	1	9656
46	108	1	6729
46	109	1	3800
46	111	1	4935
46	118	1	5117
46	121	1	6476
46	124	1	4701
46	126	1	6963
46	129	1	7149
