s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0.6,0.3,1.00E-06,1,0.6,16,0,109,200,4,0,1.62,2.835738882,127,NA,46.06818182,230.6041667,0.19977168,4,24,-0.260249689,0.166666667,2,3,7,6,8,14,0.205603996
0.6,0.3,1.00E-06,1,0.6,16,0,109,200,4,0,1.62,2.835738882,127,NA,46.06818182,230.6041667,0.19977168,4,24,-0.260249689,0.166666667,2,4,1,6,6,12,0.248123727
0.6,0.3,1.00E-06,1,0.6,16,0,109,200,4,0,1.62,2.835738882,127,NA,46.06818182,230.6041667,0.19977168,4,24,-0.260249689,0.166666667,3,4,7,8,6,14,0.192862999
0,0.3,0,0.6,0.6,16,0,79,200,2,0,1.29,4.147544445,170,NA,47.42361111,249.6474359,0.18996234,2,26,0.829622106,0.384615385,1,2,14,16,10,26,0.193682554
0,0.3,0,0.5,0.6,16,0,84,200,2,0,1.33,4.109182215,143,NA,47.74666667,243.0864198,0.196418487,2,27,-0.48661721,0.222222222,1,2,13,6,21,27,0.234692136
0,0.3,0,0.2,0.6,16,0,29,200,2,0,1.33,4.007391274,139,NA,47.68181818,260.9166667,0.182747307,2,24,0.239750311,0.291666667,1,2,14,7,17,24,0.222140818
0,0.3,0,0,0.6,16,0,47,200,4,0,1.79,1.776762461,143,NA,239.4583333,1155.730769,0.207192142,4,26,-0.208839432,0.076923077,1,2,1,2,4,6,0.250365433
0,0.3,0,0,0.6,16,0,47,200,4,0,1.79,1.776762461,143,NA,239.4583333,1155.730769,0.207192142,4,26,-0.208839432,0.076923077,1,4,8,2,17,19,0.141066135
0,0.3,0,0,0.6,16,0,47,200,4,0,1.79,1.776762461,143,NA,239.4583333,1155.730769,0.207192142,4,26,-0.208839432,0.076923077,2,4,9,4,17,21,0.09145711
0,0.3,0,0,0.6,16,0,47,200,4,0,1.79,1.776762461,143,NA,239.4583333,1155.730769,0.207192142,4,26,-0.208839432,0.076923077,3,4,10,3,17,20,0.088434941
0,0.3,0,0.6,0.6,16,0,33,200,4,0,1.71,3.071243032,137,NA,53.45652174,238.32,0.224305647,4,25,-0.151916356,0.16,1,2,8,6,6,12,0.216125608
0,0.3,0,0.6,0.6,16,0,33,200,4,0,1.71,3.071243032,137,NA,53.45652174,238.32,0.224305647,4,25,-0.151916356,0.16,1,3,5,6,9,15,0.222681023
0,0.3,0,0.6,0.6,16,0,33,200,4,0,1.71,3.071243032,137,NA,53.45652174,238.32,0.224305647,4,25,-0.151916356,0.16,2,3,7,6,9,15,0.190725919
0,0.3,0,0.6,0.6,16,0,33,200,4,0,1.71,3.071243032,137,NA,53.45652174,238.32,0.224305647,4,25,-0.151916356,0.16,2,4,7,6,4,10,0.316589656
0,0.3,0,0.6,0.6,16,0,33,200,4,0,1.71,3.071243032,137,NA,53.45652174,238.32,0.224305647,4,25,-0.151916356,0.16,3,4,3,9,4,13,0.311343966
0.6,0.3,1.00E-06,1,0.6,16,0,76,200,3,0,1.6,3.795631153,90,NA,49.85294118,201.5263158,0.24737683,3,19,-0.358637209,0.263157895,1,2,11,7,7,14,0.256616861
0.6,0.3,1.00E-06,1,0.6,16,0,76,200,3,0,1.6,3.795631153,90,NA,49.85294118,201.5263158,0.24737683,3,19,-0.358637209,0.263157895,1,3,2,7,5,12,0.302106251
0.6,0.3,1.00E-06,1,0.6,16,0,76,200,3,0,1.6,3.795631153,90,NA,49.85294118,201.5263158,0.24737683,3,19,-0.358637209,0.263157895,2,3,8,7,5,12,0.340093782
0.4,0.3,1.00E-06,1,0.6,16,0,200,200,2,0,1.42,3.957935158,145,NA,39.55555556,231.7179487,0.170705618,2,26,-0.131916356,0.423076923,1,2,15,11,15,26,0.185637453
0,0.3,0,0.4,0.6,16,0,63,200,2,0,1.33,4.102978608,137,NA,49.27777778,256.3076923,0.192260237,2,26,-0.439608663,0.384615385,1,2,14,10,16,26,0.195559261
0.6,0.3,1.00E-06,1,0.6,16,0,40,200,2,0,1.35,3.540509638,70,NA,21.17857143,111.9375,0.189199968,2,16,-0.386457986,0.3125,1,2,12,11,5,16,0.295905723
0,0.3,0,0.5,0.6,16,0,17,200,2,0,1.33,3.42409393,140,NA,48.82666667,239.9567901,0.203481079,2,27,-0.597728321,0.37037037,1,2,15,10,17,27,0.149363534
0.6,0.3,1.00E-06,1,0.6,16,0,159,200,2,0,1.4,2.803297791,114,NA,19.90740741,110.1833333,0.180675305,2,20,0.504520686,0.35,1,2,15,13,7,20,0.194144886
0.4,0.3,1.00E-06,1,0.6,16,0,11,200,2,0,1.33,3.232953229,147,NA,40.54166667,237.2692308,0.17086778,2,26,-0.054993279,0.346153846,1,2,13,17,9,26,0.159522817
0,0.3,0,0.5,0.6,16,0,22,200,2,0,1.38,3.32146678,114,NA,39.88636364,228.7916667,0.174334862,2,24,-0.801916356,0.5,1,2,16,12,12,24,0.161582148
0,0.3,0,0.4,0.6,16,0,51,200,2,0,1.42,3.245377284,133,NA,46.46527778,241.0897436,0.192730214,2,26,-0.593454817,0.346153846,1,2,16,9,17,26,0.163417215
0,0.3,0,0.8,0.6,16,0,70,200,2,0,1.33,3.626455078,129,NA,51.83333333,233.9333333,0.221573098,2,25,-0.471916356,0.36,1,2,17,9,16,25,0.169069161
