s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.4,0.3,1.00E-06,1,0.6,16,0,34,200,2,0,1.35,3.474364774,89,NA,36.58823529,201.3157895,0.181745483,2,19,-0.411268788,0.421052632,1,2,15,11,8,19,0.22197612,0.134228188
0.2,0.3,1.00E-06,1,0.6,16,0,16,200,2,0,1.29,3.308506946,148,NA,45.91666667,233.3653846,0.196758687,2,26,-0.01653174,0.192307692,1,2,12,5,21,26,0.206012156,0
0.6,0.3,1.00E-06,1,0.6,16,0,150,200,2,0,1.31,4.109218328,56,NA,31.03030303,136.8205128,0.226795693,2,13,-0.052575203,0.230769231,1,2,8,3,10,13,0.429861127,0.363885089
0.4,0.3,1.00E-06,1,0.6,16,0,177,200,2,0,1.35,2.917777966,92,NA,23,140.3,0.163934426,2,20,-0.595479314,0.3,1,2,15,14,6,20,0.223069471,0.41066482
0.4,0.3,1.00E-06,1,0.6,16,0,134,200,2,0,1.35,3.550779313,106,NA,22.80555556,117.275,0.194462209,2,20,0.104520686,0.4,1,2,14,8,12,20,0.207805507,0.498090562
0.6,0.3,1.00E-06,1,0.6,16,0,25,200,2,0,1.4,4.840182882,120,NA,36.45098039,163.0175439,0.22360158,2,19,1.220310159,0.210526316,1,2,10,4,15,19,0.412028285,0.243744208
0.2,0.3,1.00E-06,1,0.6,16,0,23,200,2,0,1.25,3.845088788,130,NA,50.05555556,225.4102564,0.222064232,2,26,-0.708839432,0.461538462,1,2,16,12,14,26,0.176224015,0
0.2,0.3,1.00E-06,1,0.6,16,0,5,200,2,0,1.33,4.779253001,144,NA,50.89583333,239.6923077,0.212338201,2,26,-0.170377894,0.423076923,1,2,15,15,11,26,0.217274845,0
0.6,0.3,1.00E-06,1,0.6,16,0,46,200,2,0,1.35,6.83084064,57,NA,36.90277778,107.25,0.344081844,2,14,-0.431696082,0.428571429,1,2,10,8,6,14,0.455908236,0.445981555
0.4,0.3,1.00E-06,1,0.6,16,0,3,200,2,0,1.4,3.237512771,104,NA,43.88235294,226.0526316,0.194124495,2,19,0.378204896,0.473684211,1,2,14,9,10,19,0.185853777,0.03760948
0.4,0.3,1.00E-06,1,0.6,16,0,93,200,2,0,1.32,4.347472406,108,NA,40.57894737,237.1904762,0.171081689,2,21,-0.147860267,0.380952381,1,2,14,13,8,21,0.254943595,0.08492201
0.2,0.3,1.00E-06,1,0.6,16,0,61,200,2,0,1.38,3.542712177,164,NA,44.625,235.9230769,0.189150636,2,26,0.598852875,0.269230769,1,2,17,7,19,26,0.178028357,0
