sample,mutation_count,min_distance,location,max_distance,s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,seed
S26,553,86.88498144,center,278.6000718,0,0.3,0,1,0.6,8,10
S27,591,64.62197769,edge,278.6000718,0,0.3,0,1,0.6,8,10
S28,585,43.08131846,edge,278.6000718,0,0.3,0,1,0.6,8,10
S29,644,19.92485885,edge,278.6000718,0,0.3,0,1,0.6,8,10
S30,637,22.84731932,edge,278.6000718,0,0.3,0,1,0.6,8,10
S31,571,45.80392996,edge,278.6000718,0,0.3,0,1,0.6,8,10
S32,537,60.00833275,edge,278.6000718,0,0.3,0,1,0.6,8,10
S33,550,63.60031446,edge,278.6000718,0,0.3,0,1,0.6,8,10
S34,542,55.22680509,edge,278.6000718,0,0.3,0,1,0.6,8,10
S35,555,34.88552709,edge,278.6000718,0,0.3,0,1,0.6,8,10
S36,672,12,edge,278.6000718,0,0.3,0,1,0.6,8,10
S37,618,12.52996409,edge,278.6000718,0,0.3,0,1,0.6,8,10
S38,575,27.73084925,edge,278.6000718,0,0.3,0,1,0.6,8,10
S39,550,37.36308338,edge,278.6000718,0,0.3,0,1,0.6,8,10
S40,563,40.60788101,edge,278.6000718,0,0.3,0,1,0.6,8,10
S41,566,33.83784863,edge,278.6000718,0,0.3,0,1,0.6,8,10
S42,588,21.40093456,edge,278.6000718,0,0.3,0,1,0.6,8,10
S43,662,7,edge,278.6000718,0,0.3,0,1,0.6,8,10
S44,618,15.23154621,edge,278.6000718,0,0.3,0,1,0.6,8,10
S45,594,17.2626765,edge,278.6000718,0,0.3,0,1,0.6,8,10
S46,607,11.18033989,edge,278.6000718,0,0.3,0,1,0.6,8,10
S1,683,4.123105626,edge,280.0142853,0,0.3,0,1,0.6,8,11
S2,632,15,edge,280.0142853,0,0.3,0,1,0.6,8,11
S3,650,23.32380758,edge,280.0142853,0,0.3,0,1,0.6,8,11
S4,605,27.85677655,edge,280.0142853,0,0.3,0,1,0.6,8,11
S5,611,20.39607805,edge,280.0142853,0,0.3,0,1,0.6,8,11
S6,650,9.486832981,edge,280.0142853,0,0.3,0,1,0.6,8,11
S7,634,17.2626765,edge,280.0142853,0,0.3,0,1,0.6,8,11
S8,587,34.0147027,edge,280.0142853,0,0.3,0,1,0.6,8,11
S9,540,45.607017,edge,280.0142853,0,0.3,0,1,0.6,8,11
S10,523,50.59644256,edge,280.0142853,0,0.3,0,1,0.6,8,11
S11,535,41.67733197,edge,280.0142853,0,0.3,0,1,0.6,8,11
S12,608,27.78488798,edge,280.0142853,0,0.3,0,1,0.6,8,11
S13,653,7,edge,280.0142853,0,0.3,0,1,0.6,8,11
S14,632,26.41968963,edge,280.0142853,0,0.3,0,1,0.6,8,11
S15,586,48.76474136,edge,280.0142853,0,0.3,0,1,0.6,8,11
S16,553,66.85057965,edge,280.0142853,0,0.3,0,1,0.6,8,11
S17,511,73.53910524,center,280.0142853,0,0.3,0,1,0.6,8,11
S18,516,60.00833275,edge,280.0142853,0,0.3,0,1,0.6,8,11
S19,496,39.20459157,edge,280.0142853,0,0.3,0,1,0.6,8,11
S20,611,15.8113883,edge,280.0142853,0,0.3,0,1,0.6,8,11
S21,663,8.062257748,edge,280.0142853,0,0.3,0,1,0.6,8,11
S22,576,30.59411708,edge,280.0142853,0,0.3,0,1,0.6,8,11
S23,536,53.60037313,edge,280.0142853,0,0.3,0,1,0.6,8,11
S24,559,76.15773106,center,280.0142853,0,0.3,0,1,0.6,8,11
S25,527,88.1192374,center,280.0142853,0,0.3,0,1,0.6,8,11
S26,540,67.62396025,edge,280.0142853,0,0.3,0,1,0.6,8,11
S27,550,44.64302857,edge,280.0142853,0,0.3,0,1,0.6,8,11
S28,615,22.47220505,edge,280.0142853,0,0.3,0,1,0.6,8,11
S29,580,22.8035085,edge,280.0142853,0,0.3,0,1,0.6,8,11
S30,538,45.27692569,edge,280.0142853,0,0.3,0,1,0.6,8,11
S31,565,60.90155991,edge,280.0142853,0,0.3,0,1,0.6,8,11
S32,545,65.4599114,edge,280.0142853,0,0.3,0,1,0.6,8,11
S33,505,56.61271942,edge,280.0142853,0,0.3,0,1,0.6,8,11
S34,540,36.40054945,edge,280.0142853,0,0.3,0,1,0.6,8,11
S35,601,14.31782106,edge,280.0142853,0,0.3,0,1,0.6,8,11
S36,602,13,edge,280.0142853,0,0.3,0,1,0.6,8,11
S37,567,28.60069929,edge,280.0142853,0,0.3,0,1,0.6,8,11
S38,552,39.2173431,edge,280.0142853,0,0.3,0,1,0.6,8,11
S39,541,42.04759208,edge,280.0142853,0,0.3,0,1,0.6,8,11
S40,552,34.4818793,edge,280.0142853,0,0.3,0,1,0.6,8,11
S41,584,23.34523506,edge,280.0142853,0,0.3,0,1,0.6,8,11
S42,685,4.123105626,edge,280.0142853,0,0.3,0,1,0.6,8,11
S43,635,7.810249676,edge,280.0142853,0,0.3,0,1,0.6,8,11
S44,625,16.2788206,edge,280.0142853,0,0.3,0,1,0.6,8,11
S45,586,18.11077028,edge,280.0142853,0,0.3,0,1,0.6,8,11
S46,579,13.15294644,edge,280.0142853,0,0.3,0,1,0.6,8,11
S47,629,4.242640687,edge,280.0142853,0,0.3,0,1,0.6,8,11
S1,612,5.385164807,edge,277.8938646,0,0.3,0,1,0.6,8,12
S2,735,5.656854249,edge,277.8938646,0,0.3,0,1,0.6,8,12
S3,627,18.43908891,edge,277.8938646,0,0.3,0,1,0.6,8,12
S4,559,25.49509757,edge,277.8938646,0,0.3,0,1,0.6,8,12
S5,577,28.63564213,edge,277.8938646,0,0.3,0,1,0.6,8,12
S6,596,20.61552813,edge,277.8938646,0,0.3,0,1,0.6,8,12
S7,584,8.94427191,edge,277.8938646,0,0.3,0,1,0.6,8,12
S8,668,18.38477631,edge,277.8938646,0,0.3,0,1,0.6,8,12
S9,603,37.58989226,edge,277.8938646,0,0.3,0,1,0.6,8,12
S10,518,48.27007354,edge,277.8938646,0,0.3,0,1,0.6,8,12
S11,520,51.623638,edge,277.8938646,0,0.3,0,1,0.6,8,12
S12,504,42.52058325,edge,277.8938646,0,0.3,0,1,0.6,8,12
S13,552,28.86173938,edge,277.8938646,0,0.3,0,1,0.6,8,12
S14,613,8.062257748,edge,277.8938646,0,0.3,0,1,0.6,8,12
S15,632,28.42534081,edge,277.8938646,0,0.3,0,1,0.6,8,12
S16,568,49.39635614,edge,277.8938646,0,0.3,0,1,0.6,8,12
S17,581,70.80254233,center,277.8938646,0,0.3,0,1,0.6,8,12
S18,504,74.24957912,center,277.8938646,0,0.3,0,1,0.6,8,12
S19,482,60.53924347,edge,277.8938646,0,0.3,0,1,0.6,8,12
S20,486,39.29376541,edge,277.8938646,0,0.3,0,1,0.6,8,12
S21,619,16.76305461,edge,277.8938646,0,0.3,0,1,0.6,8,12
S22,753,10,edge,277.8938646,0,0.3,0,1,0.6,8,12
S23,672,32.55764119,edge,277.8938646,0,0.3,0,1,0.6,8,12
S24,589,55.00909016,edge,277.8938646,0,0.3,0,1,0.6,8,12
S25,571,76.89603371,center,277.8938646,0,0.3,0,1,0.6,8,12
S26,552,85,center,277.8938646,0,0.3,0,1,0.6,8,12
S27,489,65,edge,277.8938646,0,0.3,0,1,0.6,8,12
S28,574,42.05948169,edge,277.8938646,0,0.3,0,1,0.6,8,12
S29,609,19.23538406,edge,277.8938646,0,0.3,0,1,0.6,8,12
S30,649,23.2594067,edge,277.8938646,0,0.3,0,1,0.6,8,12
S31,645,45.254834,edge,277.8938646,0,0.3,0,1,0.6,8,12
S32,600,58.82176468,edge,277.8938646,0,0.3,0,1,0.6,8,12
S33,561,62.64982043,edge,277.8938646,0,0.3,0,1,0.6,8,12
S34,569,53.71219601,edge,277.8938646,0,0.3,0,1,0.6,8,12
S35,554,34,edge,277.8938646,0,0.3,0,1,0.6,8,12
S36,662,12.64911064,edge,277.8938646,0,0.3,0,1,0.6,8,12
S37,712,11.3137085,edge,277.8938646,0,0.3,0,1,0.6,8,12
S38,666,26,edge,277.8938646,0,0.3,0,1,0.6,8,12
S39,617,36.7151195,edge,277.8938646,0,0.3,0,1,0.6,8,12
S40,570,41.23105626,edge,277.8938646,0,0.3,0,1,0.6,8,12
S41,600,31.38470965,edge,277.8938646,0,0.3,0,1,0.6,8,12
S42,608,20.61552813,edge,277.8938646,0,0.3,0,1,0.6,8,12
S43,758,7.071067812,edge,277.8938646,0,0.3,0,1,0.6,8,12
S44,662,15.23154621,edge,277.8938646,0,0.3,0,1,0.6,8,12
S45,663,17.72004515,edge,277.8938646,0,0.3,0,1,0.6,8,12
S46,693,9.219544457,edge,277.8938646,0,0.3,0,1,0.6,8,12
S1,647,4.472135955,edge,276.4796557,0,0.3,0,1,0.6,8,13
S2,607,5,edge,276.4796557,0,0.3,0,1,0.6,8,13
S3,550,17,edge,276.4796557,0,0.3,0,1,0.6,8,13
S4,542,25.70992026,edge,276.4796557,0,0.3,0,1,0.6,8,13
S5,513,27.89265136,edge,276.4796557,0,0.3,0,1,0.6,8,13
S6,568,22.20360331,edge,276.4796557,0,0.3,0,1,0.6,8,13
S7,573,11.40175425,edge,276.4796557,0,0.3,0,1,0.6,8,13
S8,591,17.49285568,edge,276.4796557,0,0.3,0,1,0.6,8,13
S9,540,37.12142239,edge,276.4796557,0,0.3,0,1,0.6,8,13
S10,505,48.46648326,edge,276.4796557,0,0.3,0,1,0.6,8,13
S11,516,51.4781507,edge,276.4796557,0,0.3,0,1,0.6,8,13
S12,515,42.48529157,edge,276.4796557,0,0.3,0,1,0.6,8,13
S13,565,27.78488798,edge,276.4796557,0,0.3,0,1,0.6,8,13
S14,686,7.071067812,edge,276.4796557,0,0.3,0,1,0.6,8,13
S15,565,26.92582404,edge,276.4796557,0,0.3,0,1,0.6,8,13
S16,524,49.24428901,edge,276.4796557,0,0.3,0,1,0.6,8,13
S17,494,70.17834424,center,276.4796557,0,0.3,0,1,0.6,8,13
S18,535,74.73285757,center,276.4796557,0,0.3,0,1,0.6,8,13
S19,553,60.41522987,edge,276.4796557,0,0.3,0,1,0.6,8,13
S20,543,38.07886553,edge,276.4796557,0,0.3,0,1,0.6,8,13
S21,624,15.5241747,edge,276.4796557,0,0.3,0,1,0.6,8,13
S22,667,8.062257748,edge,276.4796557,0,0.3,0,1,0.6,8,13
S23,613,30.3644529,edge,276.4796557,0,0.3,0,1,0.6,8,13
S24,536,53.66563146,edge,276.4796557,0,0.3,0,1,0.6,8,13
